City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,80.47,overcast clouds,14.9,-24.5,Tortuga B&B
4,Bengkulu,ID,84.15,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
6,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
9,Georgetown,MY,84.2,scattered clouds,5.41,100.34,Cititel Penang
13,Busselton,AU,86.0,broken clouds,-33.65,115.33,Observatory Guest House
14,Sola,VU,80.58,scattered clouds,-13.88,167.55,Ulkel Guest House
15,Airai,TL,80.35,light rain,-8.93,125.41,Juvinal Martin
19,Atuona,PF,78.84,few clouds,-9.8,-139.03,Villa Enata
20,Tarauaca,BR,77.81,overcast clouds,-8.16,-70.77,Flat Temporada
33,Garowe,SO,79.65,scattered clouds,8.41,48.48,Curubo Hotel
36,Dicabisagan,PH,80.83,moderate rain,17.08,122.42,Nancy Montanes Bernardo
37,Hilo,US,80.6,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
40,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
41,Banda Aceh,ID,77.07,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
43,Mangrol,IN,85.53,scattered clouds,21.12,70.12,Hotel The Royal Honours
47,Tautira,PF,77.0,shower rain,-17.73,-149.15,Pension Oaoa
50,Turbat,PK,82.99,clear sky,26.0,63.04,Mubashar Quarters
53,Umaria,IN,84.54,clear sky,23.53,80.83,Krishna Palace
55,Manavalakurichi,IN,87.8,few clouds,8.13,77.3,Udaya Boys Hostel
58,Bontang,ID,86.11,moderate rain,0.13,117.5,Okra Leaf Guest House Syariah
63,Cairns,AU,86.0,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
67,Mabaruma,GY,76.26,broken clouds,8.2,-59.78,
72,Tual,ID,82.78,scattered clouds,-5.67,132.75,Grand Vilia Hotel
80,Carutapera,BR,75.36,scattered clouds,-1.2,-46.02,Lidera
81,Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
82,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
83,Carnarvon,AU,77.0,broken clouds,-24.87,113.63,Hospitality Carnarvon
85,Kavieng,PG,84.43,light rain,-2.57,150.8,Nusa Island Retreat
88,Beloha,MG,80.83,scattered clouds,-25.17,45.05,
91,Itarema,BR,79.86,few clouds,-2.92,-39.92,Windvillage
92,Tura,IN,78.73,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
93,Hobyo,SO,81.52,light rain,5.35,48.53,Osmani Hotel
95,Yairipok,IN,79.29,broken clouds,24.67,94.07,Ningthounai
96,Lorengau,PG,85.96,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
105,Quatre Cocos,MU,75.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
118,Dingle,PH,78.15,moderate rain,11.0,122.67,Camp Pasica
119,Phangnga,TH,82.99,broken clouds,8.45,98.53,Rattanapong Hotel
126,Sambava,MG,77.56,light rain,-14.27,50.17,Melrose
130,Dakar,SN,78.8,mist,14.69,-17.44,Novotel Dakar
138,Ibra,OM,84.18,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
140,Luwuk,ID,87.67,light rain,-0.95,122.79,Hotel Santika Luwuk
149,Saint-Philippe,RE,78.8,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
151,San Policarpo,PH,76.96,heavy intensity rain,12.18,125.51,Zal-Ann Beach Resort
156,Port Hedland,AU,84.2,clear sky,-20.32,118.57,The Esplanade Hotel
162,Sinnamary,GF,80.28,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
182,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
183,Butaritari,KI,81.27,overcast clouds,3.07,172.79,Isles Sunset Lodge
184,Santa Cruz,BO,80.6,few clouds,-17.8,-63.17,Hotel Cortez
185,Catuday,PH,82.8,light rain,16.29,119.81,GResort
186,Bambous Virieux,MU,75.0,shower rain,-20.34,57.76,Casa Tia Villa
187,Faanui,PF,79.61,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Cabo San Lucas,MX,81.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
189,Dagana,MR,87.55,overcast clouds,16.52,-15.51,FORT DE DAGANA ANCIEN FORT FAIDHERBE
197,Mecca,SA,82.42,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
202,Namatanai,PG,83.64,light rain,-3.67,152.43,Namatanai Hotel
203,Saint-Paul,RE,77.0,broken clouds,-21.01,55.27,Boucan Canot
204,Nizwa,OM,81.7,clear sky,22.93,57.53,Orient Apartments
207,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
211,Meulaboh,ID,77.7,overcast clouds,4.14,96.13,Kost Pria
212,Anloga,GH,80.6,scattered clouds,5.79,0.9,Pin Drop Hotel
228,Cayenne,GF,75.2,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
231,Kyabe,TD,76.78,overcast clouds,9.45,18.94,
234,Ternate,ID,84.6,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
235,Adrar,MR,83.07,overcast clouds,20.5,-10.07,
238,Trinidad,BO,83.89,broken clouds,-14.83,-64.9,Hotel Piesta
239,Victoria,HK,82.0,broken clouds,22.29,114.16,Mini Hotel Central
240,Alofi,NU,77.0,overcast clouds,-19.06,-169.92,Taloa Heights
242,Kunda,IN,87.12,few clouds,25.72,81.52,Abhinav Mishra
243,Nanakuli,US,80.6,clear sky,21.39,-158.15,Camp Pālehua
244,Manikpur,IN,87.13,few clouds,25.07,81.12,Pure Jhau Lal
245,Luganville,VU,84.2,scattered clouds,-15.53,167.17,The Espiritu Hotel
246,Jizan,SA,82.4,few clouds,17.33,42.67,شهدان. ابوالحجر
248,San Borja,BO,80.35,scattered clouds,-14.82,-66.85,
259,Jacobabad,PK,89.11,clear sky,28.28,68.44,Sardar Hotel
261,Wanning,CN,80.44,overcast clouds,18.8,110.4,Paradise Hotel
264,Mayahi,NE,77.95,scattered clouds,13.96,7.67,
270,Kandrian,PG,85.71,light rain,-6.22,149.55,Kandrian Station
271,Khargone,IN,84.27,scattered clouds,21.82,75.6,Vallabha Hotel
272,Sarankhola,BD,85.93,scattered clouds,22.31,89.79,ইসা ষ্টোর
274,Naze,JP,77.0,few clouds,28.37,129.48,奄美ポートタワーホテル
276,Dekar,BW,75.88,scattered clouds,-21.53,21.93,
280,Kanker,IN,84.24,few clouds,20.27,81.49,STARiHOTEL Kanker
281,Miri,MY,82.4,moderate rain,4.41,114.01,"Mega Hotel, Miri"
282,Ha Giang,VN,85.75,broken clouds,22.83,104.98,Truong Xuan Ecolodge
283,Berbera,SO,84.06,few clouds,10.44,45.01,Damal Hotel
285,Tezu,IN,82.06,light rain,27.92,96.17,Circuit House
288,Xuddur,SO,76.39,broken clouds,4.12,43.89,Banjanay Hotel
291,Nishihara,JP,78.8,scattered clouds,26.18,127.76,Minshuku Agaihama
292,Manali,IN,89.6,haze,13.17,80.27,Sarathy Lodge
294,Bol,TD,80.85,scattered clouds,13.46,14.71,Hotel 3 Etoiles
305,Pringsewu,ID,79.52,light rain,-5.36,104.97,Urban Style by Front One
314,Ambilobe,MG,83.26,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
317,Conde,BR,75.2,scattered clouds,-7.26,-34.91,Pousada Beija Flor
318,Hithadhoo,MV,83.37,scattered clouds,-0.6,73.08,Scoop Guest House
320,Tucuman,AR,75.2,scattered clouds,-26.82,-65.22,Dallas Hotel Tucuman
323,Palmas Bellas,PA,78.8,overcast clouds,9.23,-80.09,Estación de Chagres
330,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
333,Mkokotoni,TZ,75.2,few clouds,-5.88,39.25,
340,Nan,TH,80.6,clear sky,18.83,100.67,นายนนท์ปวิช. อานุ
346,Portobelo,PA,78.8,scattered clouds,9.55,-79.65,Scuba Portobelo
349,Veraval,IN,85.68,few clouds,20.9,70.37,Lords Inn Somnath
352,Gushikawa,JP,77.0,overcast clouds,26.35,127.87,Kirari Guest House
353,Mandalay,MM,86.0,broken clouds,21.97,96.08,Hotel Yadanarbon
355,Mount Isa,AU,87.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
359,Urucui,BR,77.34,light rain,-7.23,-44.56,Formula Flat Uruçui
360,Noumea,NC,86.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
368,Morondava,MG,83.32,broken clouds,-20.28,44.28,La Case Bambou
371,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
376,Port Blair,IN,86.04,light rain,11.67,92.75,Fortune Resort Bay Island
378,Narasannapeta,IN,85.15,scattered clouds,18.42,84.05,G.lingaraju home
379,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
382,Umm Lajj,SA,85.17,clear sky,25.02,37.27,Moon light Furnished Units
385,Fare,PF,80.17,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
386,Mogadishu,SO,80.6,broken clouds,2.04,45.34,Hotel Juba
389,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
392,Madaripur,BD,82.35,broken clouds,23.18,90.21,Government Madaripur College Student Hostel (Female)
399,Teahupoo,PF,77.0,shower rain,-17.83,-149.27,Vanira Lodge
404,Inhambane,MZ,75.9,broken clouds,-23.86,35.38,Oceano
406,Ati,TD,78.24,broken clouds,13.22,18.34,
409,Robertsport,LR,77.34,light rain,6.75,-11.37,Kwepunha Retreat
414,Tayu,ID,87.89,broken clouds,-6.54,111.05,Toko pakaian bu is Tayu
416,Nabire,ID,86.4,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
418,Auki,SB,84.85,light rain,-8.77,160.7,Auki Motel
421,Ammapettai,IN,82.4,scattered clouds,10.8,79.33,Sangam fast food
425,Qandala,SO,84.18,broken clouds,11.47,49.87,
429,Acapulco,MX,81.21,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
430,Boa Vista,BR,82.4,clear sky,2.82,-60.67,Aipana Plaza Hotel
431,Ende,ID,85.33,light rain,-8.84,121.66,Dwi Putra Hotel - Ende
437,Bubaque,GW,82.71,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
443,Taoudenni,ML,82.96,few clouds,22.68,-3.98,
444,Xapuri,BR,78.03,overcast clouds,-10.65,-68.5,Restaurante Viana
445,Biak,ID,85.62,overcast clouds,-0.91,122.88,Kost Ariz
450,Mahibadhoo,MV,82.45,broken clouds,3.78,72.97,Omadhoo Inn
451,Karratha,AU,82.44,clear sky,-20.74,116.85,ibis Styles Karratha
454,Tiarei,PF,77.0,shower rain,-17.53,-149.33,Le Rocher de Tahiti
456,Port Keats,AU,89.83,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
462,Poum,NC,77.97,broken clouds,-20.23,164.02,Gîte kajeon
466,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
470,Muli,MV,82.47,scattered clouds,2.92,73.57,Medhufushi Island Resort
473,Jaque,PA,76.59,overcast clouds,7.52,-78.17,cabañas de playa
478,Praya,CV,78.8,clear sky,14.92,-23.51,LT Aparthotel
481,Montepuez,MZ,78.4,few clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
482,Port-Gentil,GA,78.22,overcast clouds,-0.72,8.78,Fengshui Residence
489,Mamallapuram,IN,89.6,haze,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
491,Gamba,GA,76.03,light rain,-2.65,10.0,
492,Khowai,IN,84.2,mist,24.1,91.63,Bachai bari townhall
493,Kotido,UG,75.0,clear sky,2.98,34.13,Loware Joseph Mukasa's Residence
494,Kuraymah,SD,76.01,clear sky,18.55,31.85,Nubian House
496,Singapore,SG,89.6,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
506,Port Moresby,PG,82.26,light rain,-9.44,147.18,Lamana Hotel
509,Dhangadhi,NP,82.35,clear sky,28.71,80.6,Hotel Devotee
512,Tessalit,ML,77.31,clear sky,20.2,1.01,
515,Coahuayana,MX,81.18,light rain,18.73,-103.68,Hotel Los Arcos
516,Buala,SB,84.47,light rain,-8.14,159.59,Maringe Lagoon Lodge
521,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
522,Camacari,BR,78.8,few clouds,-12.7,-38.32,Sítio Blasi
525,Ranong,TH,89.6,scattered clouds,9.97,98.63,Tinidee Hotel@Ranong
526,Petatlan,MX,79.56,overcast clouds,17.52,-101.27,Hotel California Petatlán
531,Puerto Madero,MX,80.6,light rain,14.72,-92.42,Hotel La Central
533,Caxito,AO,77.0,broken clouds,-8.58,13.66,
536,Tabuk,PH,82.06,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
537,Cockburn Town,TC,83.17,light rain,21.46,-71.14,Osprey Beach Hotel
541,Lazaro Cardenas,MX,80.31,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
542,Filingue,NE,80.06,broken clouds,14.35,3.32,
543,Sao Paulo De Olivenca,BR,75.79,scattered clouds,-3.38,-68.87,
545,Pozo Colorado,PY,79.54,few clouds,-23.49,-58.8,Hospedaje la Amistad
547,Harper,LR,76.89,light rain,4.38,-7.72,Screensaver
562,Maumere,ID,84.99,overcast clouds,-8.62,122.21,Sylvia Hotel
564,Mandal,IN,85.21,clear sky,25.45,74.57,पीपी वाले हनुमान जी
566,Dzaoudzi,YT,77.0,overcast clouds,-12.79,45.27,Le Rocher
575,Kavaratti,IN,84.2,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
586,Cabedelo,BR,75.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
594,Itupiranga,BR,78.21,broken clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
595,Bayshore Gardens,US,78.8,few clouds,27.43,-82.59,Ramada by Wyndham Sarasota
596,Bundaberg,AU,77.0,moderate rain,-24.85,152.35,Takalvan Motel
601,Ahuimanu,US,80.6,scattered clouds,21.44,-157.84,Paradise Bay Resort
605,Bandarbeyla,SO,78.58,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
607,Bosaso,SO,82.4,few clouds,11.28,49.18,Red Sea Hotel
609,Salumbar,IN,80.6,haze,24.13,74.05,chatra chaya guest house
611,Blythe,US,80.6,clear sky,33.61,-114.6,Rodeway Inn & Suites
613,Sal Rei,CV,78.8,broken clouds,16.18,-22.92,Marine Club Beach Resort
614,Atar,MR,83.35,broken clouds,20.52,-13.05,Oumou Elghoura
618,Thinadhoo,MV,83.79,broken clouds,0.53,72.93,
