City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Sao Filipe,CV,14.9,-24.5,80.47,73,100,9.8,overcast clouds
1,Salta,AR,-24.79,-65.41,73.4,69,40,3.36,scattered clouds
2,Vao,NC,-22.67,167.48,73.38,82,63,18.54,broken clouds
3,Clyde River,CA,70.47,-68.59,17.6,78,75,16.11,broken clouds
4,Bengkulu,ID,-3.8,102.27,84.15,67,99,5.82,overcast clouds
5,Inta,RU,66.03,60.17,22.86,92,100,11.07,overcast clouds
6,Avarua,CK,-21.21,-159.78,75.2,73,56,12.75,broken clouds
7,Rikitea,PF,-23.12,-134.97,74.93,83,98,19.71,light rain
8,Korla,CN,41.76,86.15,56.1,36,0,12.64,clear sky
9,Georgetown,MY,5.41,100.34,84.2,79,40,6.93,scattered clouds
10,Asilah,MA,35.47,-6.03,53.6,93,40,4.7,scattered clouds
11,Batouri,CM,4.43,14.37,67.51,96,99,1.36,light rain
12,Zhigansk,RU,66.77,123.37,21.92,97,100,15.14,light snow
13,Busselton,AU,-33.65,115.33,86.0,21,79,5.73,broken clouds
14,Sola,VU,-13.88,167.55,80.58,80,27,15.93,scattered clouds
15,Airai,TL,-8.93,125.41,80.35,55,62,3.24,light rain
16,Krasnoarmeysk,RU,51.02,45.7,50.0,98,100,1.01,light rain
17,Kodiak,US,57.79,-152.41,44.6,87,75,5.82,broken clouds
18,Ushuaia,AR,-54.8,-68.3,42.8,75,75,5.88,broken clouds
19,Atuona,PF,-9.8,-139.03,78.84,74,21,20.51,few clouds
20,Tarauaca,BR,-8.16,-70.77,77.81,76,86,3.36,overcast clouds
21,Virginia Beach,US,36.85,-75.98,69.8,83,75,6.93,broken clouds
22,Port Elizabeth,ZA,-33.92,25.57,64.4,88,90,8.05,overcast clouds
23,Cape Town,ZA,-33.93,18.42,61.0,82,75,4.7,broken clouds
24,Klaksvik,FO,62.23,-6.59,46.4,93,99,19.46,light rain
25,Jumla,NP,29.27,82.18,66.49,21,0,3.94,clear sky
26,Upernavik,GL,72.79,-56.15,19.9,88,63,7.23,broken clouds
27,Kizukuri,JP,40.81,140.39,55.0,71,75,17.22,broken clouds
28,New Norfolk,AU,-42.78,147.06,60.01,47,51,1.99,broken clouds
29,Qaanaaq,GL,77.48,-69.36,17.94,92,100,13.33,overcast clouds
